Name,State,County,2000_D,2000_R,2004_D,2004_R,2008_D,2008_R,2012_D,2012_R,2016_D,2016_R,2020_D,2020_R,2024_D,2024_R,2000_StD,2000_StR,2004_StD,2004_StR,2008_StD,2008_StR,2012_StD,2012_StR,2016_StD,2016_StR,2020_StD,2020_StR,2024_StD,2024_StR,2000_DifD,2000_DifR,2004_DifD,2004_DifR,2008_DifD,2008_DifR,2012_DifD,2012_DifR,2016_DifD,2016_DifR,2020_DifD,2020_DifR,2024_DifD,2024_DifR
University of Alabama,AL,Tuscaloosa County,40.95,56.56,37.87,61.4,41.56,57.54,40.68,58.08,38.41,57.71,41.88,56.69,39.17,59.5,41.57,56.48,36.84,62.46,38.74,60.32,38.36,60.55,34.36,62.08,36.57,62.03,34.1,64.57,-0.62,0.08,1.03,-1.06,2.82,-2.78,2.32,-2.47,4.05,-4.37,5.31,-5.34,5.07,-5.07
Arizona State University,AZ,Maricopa County,42.88,53.23,42.25,56.86,43.91,54.43,43.61,54.3,44.83,47.67,50.13,47.96,47.7,51.18,44.73,51.02,44.4,54.87,45.12,53.64,44.59,53.65,45.13,48.67,49.36,49.06,46.69,52.22,-1.85,2.21,-2.15,1.99,-1.21,0.79,-0.98,0.65,-0.3,-1,0.77,-1.1,1.01,-1.04
University of Arkansas,AR,Washington County,41.64,54.86,43.05,55.73,42.44,55.52,40.07,56.33,40.76,50.67,46.49,50.39,45.06,51.71,45.86,51.31,44.55,54.31,38.86,58.72,36.88,60.57,33.65,60.57,34.78,62.4,33.56,64.2,-4.22,3.55,-1.5,1.42,3.58,-3.2,3.19,-4.24,7.11,-9.9,11.71,-12.01,11.5,-12.49
"University of California, LA",CA,Los Angeles County,63.47,32.35,63.1,35.6,69.19,28.82,69.69,27.83,71.76,22.41,71.03,26.86,64.82,31.91,53.45,41.65,54.3,44.36,61.01,36.95,60.24,37.12,61.73,31.62,63.48,34.32,58.47,38.33,10.02,-9.3,8.8,-8.76,8.18,-8.13,9.45,-9.29,10.03,-9.21,7.55,-7.46,6.35,-6.42
University of Colorado,CO,Boulder County,50.12,36.44,66.28,32.39,72.29,26.14,69.69,27.84,70.34,22,77.19,20.62,76.49,20.76,42.39,50.75,47.02,51.69,53.66,44.71,51.49,46.13,48.16,43.25,55.4,41.9,54.13,43.14,7.73,-14.31,19.26,-19.3,18.63,-18.57,18.2,-18.29,22.18,-21.25,21.79,-21.28,22.36,-22.38
University of Connecticut,CT,Tolland County,53.52,39.4,54.57,43.56,59.67,38.76,55.45,42.89,49.73,44.16,54.7,43.16,53.13,45.11,55.91,38.44,54.31,43.95,60.59,38.22,58.06,40.73,54.57,40.93,59.26,39.19,56.4,41.89,-2.39,0.96,0.26,-0.39,-0.92,0.54,-2.61,2.16,-4.84,3.23,-4.56,3.97,-3.27,3.22
University of Deleware,DE,New Castle County,59.86,36.88,60.52,38.54,69.66,29.07,66.3,32.23,61.95,32.52,67.81,30.72,67.81,30.72,54.96,41.9,45.75,53.35,61.94,36.95,58.61,39.98,53.09,41.71,58.74,39.77,56.49,41.79,4.9,-5.02,14.77,-14.81,7.72,-7.88,7.69,-7.75,8.86,-9.19,9.07,-9.05,11.32,-11.07
University of Central Florida,FL,Orange County,50.06,48.02,49.83,49.62,58.96,40.35,58.56,40.36,59.77,35.37,61.02,37.9,56.13,42.54,48.84,48.85,47.09,52.1,51.03,48.22,50.01,49.13,47.82,49.02,47.86,51.22,42.99,56.09,1.22,-0.83,2.74,-2.48,7.93,-7.87,8.55,-8.77,11.95,-13.65,13.16,-13.32,13.14,-13.55
University of Georgia,GA,Clarke County,52.47,41,58,40.2,64.8,33.58,62.77,34.1,65.1,27.96,70.12,28.1,68.63,30.35,42.98,54.67,41.37,57.97,46.99,52.2,45.48,53.3,45.64,50.77,49.47,49.24,48.53,50.72,9.49,-13.67,16.63,-17.77,17.81,-18.62,17.29,-19.2,19.46,-22.81,20.65,-21.14,20.1,-20.37
University of Hawaii at Manoa,HI,Honolulu County,54.54,39.58,51.08,48.29,69.83,28.74,68.86,29.81,61.48,31.61,62.51,35.66,59.93,38.28,55.79,37.46,54.01,45.26,71.85,26.58,70.55,27.84,62.22,30.04,63.73,34.27,60.59,37.48,-1.25,2.12,-2.93,3.03,-2.02,2.16,-1.69,1.97,-0.74,1.57,-1.22,1.39,-0.66,0.8
